Comparison,# significantly up,# significantly down,Total,Comparison_Type,n_case,n_control,ratio
JG3-OVA_vs_JG3-PBS_C,329,134,463,individual,78,123,0.6341463414634146
NG6-OVA_C_vs_NG6-PBS,174,126,300,individual,75,190,0.39473684210526316
JG1-OVA_C_vs_JG1-PBS,100,172,272,individual,78,254,0.30708661417322836
NG13-OVA_vs_NG13-PBS_C,74,182,256,individual,305,428,0.7126168224299065
JG4-OVA_C_vs_JG4-PBS_C,122,123,245,individual,40,107,0.37383177570093457
JG10-OVA_vs_JG10-PBS_C,169,72,241,individual,44,38,1.1578947368421053
JG8-OVA_C_vs_lumped,84,135,219,lumped,6,22,0.2727272727272727
NG4-OVA_C_vs_NG4-PBS,96,103,199,individual,59,147,0.4013605442176871
JG4-OVA_vs_JG4-PBS_C,101,97,198,individual,93,107,0.8691588785046729
JG1-OVA_vs_JG1-PBS_C,115,80,195,individual,155,254,0.610236220472441
JG8-OVA_C_vs_JG8-PBS,63,129,192,individual,6,22,0.2727272727272727
NG6-OVA_C_vs_lumped,101,64,165,lumped,75,190,0.39473684210526316
NG4-OVA_C_vs_lumped,73,81,154,lumped,59,147,0.4013605442176871
NG15-OVA_vs_NG15-PBS_C,115,22,137,individual,62,109,0.5688073394495413
JG2-OVA_vs_JG2-NT,115,19,134,individual,48,99,0.48484848484848486
JG3-OVA_C_vs_JG3-PBS_C,96,35,131,individual,20,123,0.16260162601626016
NG3-OVA_vs_NG3-PBS_C,18,108,126,individual,65,127,0.5118110236220472
NG7-OVA_C_vs_NG7-PBS_C,61,54,115,individual,65,107,0.6074766355140186
NG13-OVA_C_vs_NG13-PBS,75,37,112,individual,179,428,0.4182242990654206
JG3-OVA_C_vs_JG3-PBS,40,59,99,individual,20,123,0.16260162601626016
NG24-OVA_vs_NG24-PBS_C,40,52,92,individual,37,73,0.5068493150684932
NG18-OVA_vs_NG18-PBS_C,79,6,85,individual,38,62,0.6129032258064516
NG11-OVA_vs_NG11-PBS_C,53,32,85,individual,126,261,0.4827586206896552
NG13-OVA_C_vs_NG13-PBS_C,38,32,70,individual,179,428,0.4182242990654206
NG13-OVA_C_vs_lumped,50,15,65,lumped,179,428,0.4182242990654206
JG4-OVA_C_vs_JG4-PBS,32,32,64,individual,40,107,0.37383177570093457
NG24-OVA_C_vs_NG24-PBS_C,27,36,63,individual,38,73,0.5205479452054794
NG7-OVA_vs_NG7-PBS_C,32,30,62,individual,74,107,0.6915887850467289
NG13-OVA_C_vs_NG13-NT,42,20,62,individual,179,428,0.4182242990654206
NG25-OVA_vs_NG25-PBS_C,27,34,61,individual,15,24,0.625
NG4-OVA_C_vs_NG4-NT,43,16,59,individual,59,147,0.4013605442176871
NG11-OVA_C_vs_NG11-PBS,34,20,54,individual,75,261,0.28735632183908044
JG1-OVA_C_vs_lumped,37,16,53,lumped,78,254,0.30708661417322836
JG10-OVA_C_vs_JG10-PBS_C,33,17,50,individual,21,38,0.5526315789473685
NG11-OVA_C_vs_NG11-PBS_C,22,28,50,individual,75,261,0.28735632183908044
NG6-OVA_vs_NG6-PBS_C,31,14,45,individual,100,190,0.5263157894736842
NG20-OVA_vs_NG20-PBS_C,25,20,45,individual,31,57,0.543859649122807
JG5-OVA_vs_JG5-PBS_C,3,40,43,individual,56,103,0.5436893203883495
NG13-OVA_vs_NG13-PBS,26,14,40,individual,305,428,0.7126168224299065
NG3-OVA_vs_NG3-PBS,25,14,39,individual,65,127,0.5118110236220472
NG2-OVA_vs_NG2-PBS_C,35,3,38,individual,61,130,0.46923076923076923
JG4-OVA_vs_JG4-PBS,29,9,38,individual,93,107,0.8691588785046729
NG11-OVA_C_vs_lumped,26,12,38,lumped,75,261,0.28735632183908044
JG10-OVA_vs_lumped,24,12,36,lumped,44,38,1.1578947368421053
NG15-OVA_C_vs_NG15-NT,5,30,35,individual,48,109,0.44036697247706424
NG25-OVA_C_vs_lumped,17,17,34,lumped,10,24,0.4166666666666667
NG11-OVA_vs_NG11-PBS,22,12,34,individual,126,261,0.4827586206896552
NG3-OVA_vs_lumped,24,9,33,lumped,65,127,0.5118110236220472
NG9-OVA_C_vs_NG9-PBS,28,4,32,individual,47,126,0.373015873015873
NG18-OVA_C_vs_NG18-PBS,23,9,32,individual,25,62,0.4032258064516129
JG10-OVA_vs_JG10-NT,19,12,31,individual,44,38,1.1578947368421053
NG9-OVA_C_vs_lumped,22,8,30,lumped,47,126,0.373015873015873
JG1-OVA_C_vs_JG1-PBS_C,24,5,29,individual,78,254,0.30708661417322836
JG4-OVA_C_vs_lumped,19,9,28,lumped,40,107,0.37383177570093457
JG8-OVA_vs_JG8-PBS,22,6,28,individual,22,22,1.0
NG2-OVA_C_vs_NG2-PBS,18,8,26,individual,58,130,0.4461538461538462
NG15-OVA_vs_NG15-NT,1,25,26,individual,62,109,0.5688073394495413
NG22-OVA_C_vs_NG22-PBS,18,7,25,individual,30,67,0.44776119402985076
NG20-OVA_C_vs_NG20-PBS_C,23,0,23,individual,23,57,0.40350877192982454
NG4-OVA_vs_NG4-PBS_C,15,8,23,individual,68,147,0.46258503401360546
JG1-OVA_vs_JG1-PBS,17,4,21,individual,155,254,0.610236220472441
NG15-OVA_C_vs_NG15-PBS,14,3,17,individual,48,109,0.44036697247706424
NG2-OVA_C_vs_NG2-NT,8,8,16,individual,58,130,0.4461538461538462
NG2-OVA_C_vs_lumped,10,4,14,lumped,58,130,0.4461538461538462
NG4-OVA_vs_NG4-PBS,13,1,14,individual,68,147,0.46258503401360546
JG1-OVA_vs_lumped,1,12,13,lumped,155,254,0.610236220472441
NG25-OVA_C_vs_NG25-PBS_C,7,5,12,individual,10,24,0.4166666666666667
NG2-OVA_C_vs_NG2-PBS_C,10,0,10,individual,58,130,0.4461538461538462
NG3-OVA_vs_NG3-NT,9,1,10,individual,65,127,0.5118110236220472
NG1-OVA_C_vs_NG1-PBS,4,6,10,individual,56,240,0.23333333333333334
NG13-OVA_vs_lumped,1,9,10,lumped,305,428,0.7126168224299065
NG26-OVA_vs_NG26-PBS_C,4,4,8,individual,12,39,0.3076923076923077
NG3-OVA_C_vs_NG3-NT,6,2,8,individual,44,127,0.3464566929133858
NG6-OVA_C_vs_NG6-PBS_C,7,0,7,individual,75,190,0.39473684210526316
NG11-OVA_vs_lumped,1,6,7,lumped,126,261,0.4827586206896552
NG3-OVA_C_vs_NG3-PBS,4,2,6,individual,44,127,0.3464566929133858
NG1-OVA_C_vs_lumped,2,3,5,lumped,56,240,0.23333333333333334
NG8-OVA_vs_NG8-PBS_C,4,0,4,individual,68,170,0.4
NG1-OVA_C_vs_NG1-NT,1,3,4,individual,56,240,0.23333333333333334
NG26-OVA_C_vs_NG26-PBS_C,3,1,4,individual,7,39,0.1794871794871795
NG3-OVA_C_vs_lumped,1,3,4,lumped,44,127,0.3464566929133858
JG7-OVA_vs_JG7-PBS_C,0,4,4,individual,40,39,1.0256410256410255
NG15-OVA_C_vs_lumped,1,2,3,lumped,48,109,0.44036697247706424
NG23-OVA_vs_NG23-PBS_C,3,0,3,individual,29,44,0.6590909090909091
NG12-OVA_vs_lumped,2,0,2,lumped,79,182,0.4340659340659341
NG15-OVA_vs_NG15-PBS,0,2,2,individual,62,109,0.5688073394495413
JG1-OVA_vs_JG1-NT,0,2,2,individual,155,254,0.610236220472441
NG7-OVA_C_vs_NG7-PBS,0,1,1,individual,65,107,0.6074766355140186
NG1-OVA_vs_NG1-PBS_C,0,1,1,individual,104,240,0.43333333333333335
JG5-OVA_C_vs_JG5-PBS_C,1,0,1,individual,33,103,0.32038834951456313
NG11-OVA_C_vs_NG11-NT,1,0,1,individual,75,261,0.28735632183908044
JG4-OVA_vs_lumped,0,1,1,lumped,93,107,0.8691588785046729
JG6-OVA_vs_JG6-PBS,0,1,1,individual,7,20,0.35
NG25-OVA_C_vs_NG25-NT,0,1,1,individual,10,24,0.4166666666666667
JG7-OVA_C_vs_JG7-PBS,1,0,1,individual,12,39,0.3076923076923077
NG23-OVA_vs_NG23-PBS,0,0,0,individual,29,44,0.6590909090909091
NG20-OVA_vs_lumped,0,0,0,lumped,31,57,0.543859649122807
NG7-OVA_vs_NG7-NT,0,0,0,individual,74,107,0.6915887850467289
NG22-OVA_C_vs_lumped,0,0,0,lumped,30,67,0.44776119402985076
NG7-OVA_vs_NG7-PBS,0,0,0,individual,74,107,0.6915887850467289
NG22-OVA_vs_lumped,0,0,0,lumped,42,67,0.6268656716417911
NG20-OVA_C_vs_NG20-NT,0,0,0,individual,23,57,0.40350877192982454
NG23-OVA_vs_NG23-NT,0,0,0,individual,29,44,0.6590909090909091
NG20-OVA_C_vs_NG20-PBS,0,0,0,individual,23,57,0.40350877192982454
NG7-OVA_C_vs_NG7-NT,0,0,0,individual,65,107,0.6074766355140186
NG20-OVA_vs_NG20-PBS,0,0,0,individual,31,57,0.543859649122807
NG7-OVA_vs_lumped,0,0,0,lumped,74,107,0.6915887850467289
NG7-OVA_C_vs_lumped,0,0,0,lumped,65,107,0.6074766355140186
JG3-OVA_vs_JG3-NT,0,0,0,individual,78,123,0.6341463414634146
JG3-OVA_vs_JG3-PBS,0,0,0,individual,78,123,0.6341463414634146
NG22-OVA_C_vs_NG22-PBS_C,0,0,0,individual,30,67,0.44776119402985076
NG22-OVA_vs_NG22-PBS_C,0,0,0,individual,42,67,0.6268656716417911
JG8-OVA_C_vs_JG8-PBS_C,0,0,0,individual,6,22,0.2727272727272727
NG22-OVA_C_vs_NG22-NT,0,0,0,individual,30,67,0.44776119402985076
NG8-OVA_C_vs_NG8-PBS,0,0,0,individual,63,170,0.37058823529411766
NG8-OVA_C_vs_NG8-PBS_C,0,0,0,individual,63,170,0.37058823529411766
JG8-OVA_C_vs_JG8-NT,0,0,0,individual,6,22,0.2727272727272727
JG8-OVA_vs_JG8-PBS_C,0,0,0,individual,22,22,1.0
NG8-OVA_vs_lumped,0,0,0,lumped,68,170,0.4
JG8-OVA_vs_JG8-NT,0,0,0,individual,22,22,1.0
NG8-OVA_C_vs_lumped,0,0,0,lumped,63,170,0.37058823529411766
JG5-OVA_vs_JG5-NT,0,0,0,individual,56,103,0.5436893203883495
JG5-OVA_vs_JG5-PBS,0,0,0,individual,56,103,0.5436893203883495
NG20-OVA_C_vs_lumped,0,0,0,lumped,23,57,0.40350877192982454
JG5-OVA_C_vs_JG5-NT,0,0,0,individual,33,103,0.32038834951456313
JG5-OVA_C_vs_JG5-PBS,0,0,0,individual,33,103,0.32038834951456313
JG5-OVA_vs_lumped,0,0,0,lumped,56,103,0.5436893203883495
JG5-OVA_C_vs_lumped,0,0,0,lumped,33,103,0.32038834951456313
NG22-OVA_vs_NG22-NT,0,0,0,individual,42,67,0.6268656716417911
NG22-OVA_vs_NG22-PBS,0,0,0,individual,42,67,0.6268656716417911
JG2-OVA_C_vs_lumped,0,0,0,lumped,21,99,0.21212121212121213
NG20-OVA_vs_NG20-NT,0,0,0,individual,31,57,0.543859649122807
NG23-OVA_C_vs_NG23-PBS_C,0,0,0,individual,9,44,0.20454545454545456
JG3-OVA_C_vs_JG3-NT,0,0,0,individual,20,123,0.16260162601626016
JG2-OVA_vs_lumped,0,0,0,lumped,48,99,0.48484848484848486
NG27-OVA_vs_lumped,0,0,0,lumped,73,99,0.7373737373737373
NG27-OVA_C_vs_lumped,0,0,0,lumped,22,99,0.2222222222222222
JG7-OVA_C_vs_lumped,0,0,0,lumped,12,39,0.3076923076923077
JG9-OVA_vs_JG9-NT,0,0,0,individual,35,43,0.813953488372093
JG9-OVA_vs_JG9-PBS,0,0,0,individual,35,43,0.813953488372093
JG9-OVA_vs_JG9-PBS_C,0,0,0,individual,35,43,0.813953488372093
JG9-OVA_C_vs_JG9-NT,0,0,0,individual,20,43,0.46511627906976744
JG9-OVA_C_vs_JG9-PBS,0,0,0,individual,20,43,0.46511627906976744
JG9-OVA_C_vs_JG9-PBS_C,0,0,0,individual,20,43,0.46511627906976744
JG9-OVA_vs_lumped,0,0,0,lumped,35,43,0.813953488372093
JG9-OVA_C_vs_lumped,0,0,0,lumped,20,43,0.46511627906976744
JG7-OVA_vs_lumped,0,0,0,lumped,40,39,1.0256410256410255
JG7-OVA_C_vs_JG7-PBS_C,0,0,0,individual,12,39,0.3076923076923077
JG7-OVA_C_vs_JG7-NT,0,0,0,individual,12,39,0.3076923076923077
JG8-OVA_vs_lumped,0,0,0,lumped,22,22,1.0
JG7-OVA_vs_JG7-PBS,0,0,0,individual,40,39,1.0256410256410255
NG8-OVA_C_vs_NG8-NT,0,0,0,individual,63,170,0.37058823529411766
JG7-OVA_vs_JG7-NT,0,0,0,individual,40,39,1.0256410256410255
NG23-OVA_C_vs_lumped,0,0,0,lumped,9,44,0.20454545454545456
NG18-OVA_vs_NG18-NT,0,0,0,individual,38,62,0.6129032258064516
NG27-OVA_C_vs_NG27-PBS_C,0,0,0,individual,22,99,0.2222222222222222
NG27-OVA_C_vs_NG27-PBS,0,0,0,individual,22,99,0.2222222222222222
JG3-OVA_C_vs_lumped,0,0,0,lumped,20,123,0.16260162601626016
NG23-OVA_vs_lumped,0,0,0,lumped,29,44,0.6590909090909091
NG23-OVA_C_vs_NG23-NT,0,0,0,individual,9,44,0.20454545454545456
JG2-OVA_C_vs_JG2-PBS_C,0,0,0,individual,21,99,0.21212121212121213
JG2-OVA_C_vs_JG2-PBS,0,0,0,individual,21,99,0.21212121212121213
JG2-OVA_C_vs_JG2-NT,0,0,0,individual,21,99,0.21212121212121213
JG3-OVA_vs_lumped,0,0,0,lumped,78,123,0.6341463414634146
NG3-OVA_C_vs_NG3-PBS_C,0,0,0,individual,44,127,0.3464566929133858
JG2-OVA_vs_JG2-PBS,0,0,0,individual,48,99,0.48484848484848486
NG27-OVA_vs_NG27-NT,0,0,0,individual,73,99,0.7373737373737373
NG18-OVA_vs_NG18-PBS,0,0,0,individual,38,62,0.6129032258064516
NG18-OVA_C_vs_lumped,0,0,0,lumped,25,62,0.4032258064516129
NG27-OVA_vs_NG27-PBS,0,0,0,individual,73,99,0.7373737373737373
NG18-OVA_vs_lumped,0,0,0,lumped,38,62,0.6129032258064516
NG23-OVA_C_vs_NG23-PBS,0,0,0,individual,9,44,0.20454545454545456
NG27-OVA_vs_NG27-PBS_C,0,0,0,individual,73,99,0.7373737373737373
NG27-OVA_C_vs_NG27-NT,0,0,0,individual,22,99,0.2222222222222222
NG18-OVA_C_vs_NG18-PBS_C,0,0,0,individual,25,62,0.4032258064516129
NG18-OVA_C_vs_NG18-NT,0,0,0,individual,25,62,0.4032258064516129
JG2-OVA_vs_JG2-PBS_C,0,0,0,individual,48,99,0.48484848484848486
NG4-OVA_vs_NG4-NT,0,0,0,individual,68,147,0.46258503401360546
NG8-OVA_vs_NG8-PBS,0,0,0,individual,68,170,0.4
NG16-OVA_C_vs_NG16-NT,0,0,0,individual,25,82,0.3048780487804878
NG25-OVA_C_vs_NG25-PBS,0,0,0,individual,10,24,0.4166666666666667
NG25-OVA_vs_lumped,0,0,0,lumped,15,24,0.625
NG9-OVA_vs_NG9-NT,0,0,0,individual,64,126,0.5079365079365079
NG9-OVA_vs_NG9-PBS,0,0,0,individual,64,126,0.5079365079365079
NG9-OVA_vs_NG9-PBS_C,0,0,0,individual,64,126,0.5079365079365079
NG9-OVA_C_vs_NG9-NT,0,0,0,individual,47,126,0.373015873015873
NG9-OVA_C_vs_NG9-PBS_C,0,0,0,individual,47,126,0.373015873015873
NG9-OVA_vs_lumped,0,0,0,lumped,64,126,0.5079365079365079
NG16-OVA_vs_NG16-NT,0,0,0,individual,32,82,0.3902439024390244
NG16-OVA_vs_NG16-PBS,0,0,0,individual,32,82,0.3902439024390244
NG16-OVA_vs_NG16-PBS_C,0,0,0,individual,32,82,0.3902439024390244
NG16-OVA_C_vs_NG16-PBS,0,0,0,individual,25,82,0.3048780487804878
NG8-OVA_vs_NG8-NT,0,0,0,individual,68,170,0.4
NG16-OVA_C_vs_NG16-PBS_C,0,0,0,individual,25,82,0.3048780487804878
NG16-OVA_vs_lumped,0,0,0,lumped,32,82,0.3902439024390244
NG16-OVA_C_vs_lumped,0,0,0,lumped,25,82,0.3048780487804878
NG26-OVA_vs_NG26-NT,0,0,0,individual,12,39,0.3076923076923077
NG26-OVA_vs_NG26-PBS,0,0,0,individual,12,39,0.3076923076923077
NG26-OVA_C_vs_NG26-NT,0,0,0,individual,7,39,0.1794871794871795
NG26-OVA_C_vs_NG26-PBS,0,0,0,individual,7,39,0.1794871794871795
NG26-OVA_vs_lumped,0,0,0,lumped,12,39,0.3076923076923077
NG26-OVA_C_vs_lumped,0,0,0,lumped,7,39,0.1794871794871795
NG6-OVA_vs_NG6-NT,0,0,0,individual,100,190,0.5263157894736842
NG6-OVA_vs_NG6-PBS,0,0,0,individual,100,190,0.5263157894736842
NG25-OVA_vs_NG25-PBS,0,0,0,individual,15,24,0.625
NG25-OVA_vs_NG25-NT,0,0,0,individual,15,24,0.625
NG19-OVA_C_vs_lumped,0,0,0,lumped,22,68,0.3235294117647059
NG19-OVA_vs_lumped,0,0,0,lumped,41,68,0.6029411764705882
NG4-OVA_C_vs_NG4-PBS_C,0,0,0,individual,59,147,0.4013605442176871
NG4-OVA_vs_lumped,0,0,0,lumped,68,147,0.46258503401360546
JG6-OVA_vs_JG6-NT,0,0,0,individual,7,20,0.35
JG6-OVA_C_vs_JG6-NT,0,0,0,individual,4,20,0.2
JG6-OVA_C_vs_JG6-PBS,0,0,0,individual,4,20,0.2
JG6-OVA_vs_lumped,0,0,0,lumped,7,20,0.35
JG6-OVA_C_vs_lumped,0,0,0,lumped,4,20,0.2
JG1-OVA_C_vs_JG1-NT,0,0,0,individual,78,254,0.30708661417322836
NG5-OVA_vs_NG5-NT,0,0,0,individual,9,77,0.11688311688311688
NG5-OVA_vs_NG5-PBS,0,0,0,individual,9,77,0.11688311688311688
NG5-OVA_vs_NG5-PBS_C,0,0,0,individual,9,77,0.11688311688311688
NG5-OVA_C_vs_NG5-NT,0,0,0,individual,10,77,0.12987012987012986
NG5-OVA_C_vs_NG5-PBS,0,0,0,individual,10,77,0.12987012987012986
NG5-OVA_C_vs_NG5-PBS_C,0,0,0,individual,10,77,0.12987012987012986
NG5-OVA_vs_lumped,0,0,0,lumped,9,77,0.11688311688311688
NG5-OVA_C_vs_lumped,0,0,0,lumped,10,77,0.12987012987012986
NG11-OVA_vs_NG11-NT,0,0,0,individual,126,261,0.4827586206896552
NG19-OVA_vs_NG19-NT,0,0,0,individual,41,68,0.6029411764705882
NG19-OVA_vs_NG19-PBS,0,0,0,individual,41,68,0.6029411764705882
NG19-OVA_vs_NG19-PBS_C,0,0,0,individual,41,68,0.6029411764705882
NG19-OVA_C_vs_NG19-NT,0,0,0,individual,22,68,0.3235294117647059
NG19-OVA_C_vs_NG19-PBS,0,0,0,individual,22,68,0.3235294117647059
NG19-OVA_C_vs_NG19-PBS_C,0,0,0,individual,22,68,0.3235294117647059
NG6-OVA_C_vs_NG6-NT,0,0,0,individual,75,190,0.39473684210526316
NG6-OVA_vs_lumped,0,0,0,lumped,100,190,0.5263157894736842
NG13-OVA_vs_NG13-NT,0,0,0,individual,305,428,0.7126168224299065
NG21-OVA_C_vs_NG21-PBS,0,0,0,individual,7,11,0.6363636363636364
NG21-OVA_vs_lumped,0,0,0,lumped,10,11,0.9090909090909091
NG21-OVA_C_vs_lumped,0,0,0,lumped,7,11,0.6363636363636364
NG1-OVA_vs_NG1-NT,0,0,0,individual,104,240,0.43333333333333335
NG1-OVA_C_vs_NG1-PBS_C,0,0,0,individual,56,240,0.23333333333333334
NG1-OVA_vs_lumped,0,0,0,lumped,104,240,0.43333333333333335
NG17-OVA_vs_NG17-NT,0,0,0,individual,23,61,0.3770491803278688
NG17-OVA_vs_NG17-PBS,0,0,0,individual,23,61,0.3770491803278688
NG17-OVA_vs_NG17-PBS_C,0,0,0,individual,23,61,0.3770491803278688
NG17-OVA_C_vs_NG17-NT,0,0,0,individual,10,61,0.16393442622950818
NG17-OVA_C_vs_NG17-PBS,0,0,0,individual,10,61,0.16393442622950818
NG17-OVA_C_vs_NG17-PBS_C,0,0,0,individual,10,61,0.16393442622950818
NG17-OVA_vs_lumped,0,0,0,lumped,23,61,0.3770491803278688
NG17-OVA_C_vs_lumped,0,0,0,lumped,10,61,0.16393442622950818
NG10-OVA_vs_NG10-NT,0,0,0,individual,35,61,0.5737704918032787
NG10-OVA_vs_NG10-PBS,0,0,0,individual,35,61,0.5737704918032787
NG10-OVA_vs_NG10-PBS_C,0,0,0,individual,35,61,0.5737704918032787
NG10-OVA_C_vs_NG10-NT,0,0,0,individual,40,61,0.6557377049180327
NG10-OVA_C_vs_NG10-PBS,0,0,0,individual,40,61,0.6557377049180327
NG10-OVA_C_vs_NG10-PBS_C,0,0,0,individual,40,61,0.6557377049180327
NG10-OVA_vs_lumped,0,0,0,lumped,35,61,0.5737704918032787
NG10-OVA_C_vs_lumped,0,0,0,lumped,40,61,0.6557377049180327
JG4-OVA_vs_JG4-NT,0,0,0,individual,93,107,0.8691588785046729
JG4-OVA_C_vs_JG4-NT,0,0,0,individual,40,107,0.37383177570093457
NG21-OVA_C_vs_NG21-PBS_C,0,0,0,individual,7,11,0.6363636363636364
NG21-OVA_C_vs_NG21-NT,0,0,0,individual,7,11,0.6363636363636364
NG12-OVA_vs_NG12-NT,0,0,0,individual,79,182,0.4340659340659341
NG21-OVA_vs_NG21-PBS_C,0,0,0,individual,10,11,0.9090909090909091
NG12-OVA_vs_NG12-PBS,0,0,0,individual,79,182,0.4340659340659341
NG12-OVA_vs_NG12-PBS_C,0,0,0,individual,79,182,0.4340659340659341
NG12-OVA_C_vs_NG12-NT,0,0,0,individual,44,182,0.24175824175824176
NG12-OVA_C_vs_NG12-PBS,0,0,0,individual,44,182,0.24175824175824176
NG12-OVA_C_vs_NG12-PBS_C,0,0,0,individual,44,182,0.24175824175824176
NG12-OVA_C_vs_lumped,0,0,0,lumped,44,182,0.24175824175824176
NG24-OVA_vs_NG24-NT,0,0,0,individual,37,73,0.5068493150684932
NG24-OVA_vs_NG24-PBS,0,0,0,individual,37,73,0.5068493150684932
NG24-OVA_C_vs_NG24-NT,0,0,0,individual,38,73,0.5205479452054794
NG24-OVA_C_vs_NG24-PBS,0,0,0,individual,38,73,0.5205479452054794
NG24-OVA_vs_lumped,0,0,0,lumped,37,73,0.5068493150684932
NG24-OVA_C_vs_lumped,0,0,0,lumped,38,73,0.5205479452054794
NG15-OVA_C_vs_NG15-PBS_C,0,0,0,individual,48,109,0.44036697247706424
NG15-OVA_vs_lumped,0,0,0,lumped,62,109,0.5688073394495413
JG10-OVA_vs_JG10-PBS,0,0,0,individual,44,38,1.1578947368421053
JG10-OVA_C_vs_JG10-NT,0,0,0,individual,21,38,0.5526315789473685
JG10-OVA_C_vs_JG10-PBS,0,0,0,individual,21,38,0.5526315789473685
JG10-OVA_C_vs_lumped,0,0,0,lumped,21,38,0.5526315789473685
NG2-OVA_vs_NG2-NT,0,0,0,individual,61,130,0.46923076923076923
NG2-OVA_vs_NG2-PBS,0,0,0,individual,61,130,0.46923076923076923
NG2-OVA_vs_lumped,0,0,0,lumped,61,130,0.46923076923076923
NG21-OVA_vs_NG21-NT,0,0,0,individual,10,11,0.9090909090909091
NG21-OVA_vs_NG21-PBS,0,0,0,individual,10,11,0.9090909090909091
NG1-OVA_vs_NG1-PBS,0,0,0,individual,104,240,0.43333333333333335
